Project Name,Package Name,Type Name,Design Smell,Cause of the Smell
asset-share-commons,com.adobe.aem.commons.assetshare.util.assetkit.impl.componentupdaters,AssetKitComponentUpdaterImpl,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
asset-share-commons,com.adobe.aem.commons.assetshare.util.assetkit.impl.componentupdaters,PageMetadataComponentUpdaterImpl,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
asset-share-commons,com.adobe.aem.commons.assetshare.testhelpers,TestOptionsImpl,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
asset-share-commons,com.adobe.aem.commons.assetshare.testhelpers,TestOptionsImpl.TestOptionItemImpl,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: text; value
asset-share-commons,com.adobe.aem.commons.assetshare.testhelpers,TestOptionsImpl.TestOptionItemImpl,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
asset-share-commons,com.adobe.aem.commons.assetshare.content.impl.datasources,AssetRenditionsDataSourceTest,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: ctx; mimeTypeService
asset-share-commons,com.adobe.aem.commons.assetshare.content.impl.datasources,ComputedPropertiesDataSource,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
asset-share-commons,com.adobe.aem.commons.assetshare.content.impl.datasources,ComputedPropertiesDataSource,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: log; PN_COMPUTED_PROPERTY_TYPES; dataSourceBuilder; computedProperties
asset-share-commons,com.adobe.aem.commons.assetshare.content.impl.datasources,MetadataSchemaPropertiesDataSource,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
asset-share-commons,com.adobe.aem.commons.assetshare.content.impl,MetadataSchemaPropertiesImplTest,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: ctx
asset-share-commons,com.adobe.aem.commons.assetshare.content.impl,AssetModelImplTest,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: ctx
asset-share-commons,com.adobe.aem.commons.assetshare.content.impl,CombinedPropertiesTest,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: ctx; combinedProperties; asset; computedPropertiesList; fileNameComputedProperty; titleComputedProperty; testWithRequestComputedProperty; testWithNoRequestComputedProperty
asset-share-commons,com.adobe.aem.commons.assetshare.content.impl,CombinedPropertiesTest.TestWithRequestComputedProperty,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: 
asset-share-commons,com.adobe.aem.commons.assetshare.content.impl,CombinedPropertiesTest.TestWithRequestComputedProperty,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
