Project Name,Package Name,Type Name,Method Name,LOC,CC,PC,Line no,IsTest,Main prod class tested,Production classes tested
asset-share-commons,com.adobe.aem.commons.assetshare.util.impl,ExpressionEvaluatorImpl,evaluateRenditionExpression,6,1,2,130,0,,
asset-share-commons,com.adobe.aem.commons.assetshare.util.impl,ExpressionEvaluatorImpl,evaluateProperties,11,2,2,139,0,,
asset-share-commons,com.adobe.aem.commons.assetshare.util.impl,ModelCacheImpl,get,13,2,1,33,0,,
asset-share-commons,com.adobe.aem.commons.assetshare.util.impl,ModelCacheImpl,get,26,6,1,49,0,com.adobe.aem.commons.assetshare.util.impl.ModelCacheImpl,com.adobe.aem.commons.assetshare.util.impl.ModelCacheImpl
asset-share-commons,com.adobe.aem.commons.assetshare.util.impl,ModelCacheImpl,getRequestAttributeKey,3,1,1,76,0,,
asset-share-commons,com.adobe.aem.commons.assetshare.util,PredicateUtilTest,findPredicate,26,1,0,13,1,,
asset-share-commons,com.adobe.aem.commons.assetshare.util,UrlUtilTest,escape_WithDoubleEscaping,7,1,0,27,1,,
asset-share-commons,com.adobe.aem.commons.assetshare.util,UrlUtilTest,escape_WithNoDoubleEscaping,7,1,0,39,1,,
asset-share-commons,com.adobe.aem.commons.assetshare.util,UrlUtilTest,isEscaped,12,1,0,51,1,,
asset-share-commons,com.adobe.aem.commons.assetshare.util,UrlUtilTest,escape_WithHost,6,1,0,67,1,,
asset-share-commons,com.adobe.aem.commons.assetshare.util,UrlUtilTest,isEscaped_WithHost,11,1,0,76,1,,
asset-share-commons,com.adobe.aem.commons.assetshare.util,UrlUtilTest,escape_WithQueryParams,4,1,0,90,1,,
asset-share-commons,com.adobe.aem.commons.assetshare.util,UrlUtil,escape,6,2,1,33,0,com.adobe.aem.commons.assetshare.util.UrlUtil,com.adobe.aem.commons.assetshare.util.UrlUtil
asset-share-commons,com.adobe.aem.commons.assetshare.util,UrlUtil,escape,24,5,2,48,0,com.adobe.aem.commons.assetshare.util.UrlUtil,com.adobe.aem.commons.assetshare.util.UrlUtil
asset-share-commons,com.adobe.aem.commons.assetshare.util,UrlUtil,isEscaped,14,4,1,86,0,com.adobe.aem.commons.assetshare.util.UrlUtil,com.adobe.aem.commons.assetshare.util.UrlUtil
asset-share-commons,com.adobe.aem.commons.assetshare.util,UrlUtil,escapePath,6,1,1,111,0,,
asset-share-commons,com.adobe.aem.commons.assetshare.util,UrlUtil,isPath,11,4,1,124,0,,
asset-share-commons,com.adobe.aem.commons.assetshare.util,ExpressionEvaluator,evaluateAssetsRenditionsExpressions,0,1,3,65,0,,
asset-share-commons,com.adobe.aem.commons.assetshare.util,ExpressionEvaluator,evaluateDateTimeExpressions,0,1,2,67,0,,
asset-share-commons,com.adobe.aem.commons.assetshare.util,ExpressionEvaluator,evaluateDynamicMediaExpression,0,1,2,69,0,,
asset-share-commons,com.adobe.aem.commons.assetshare.util,ExpressionEvaluator,evaluateAssetExpression,0,1,2,71,0,,
asset-share-commons,com.adobe.aem.commons.assetshare.util,ExpressionEvaluator,evaluateRenditionExpression,0,1,2,73,0,,
asset-share-commons,com.adobe.aem.commons.assetshare.util,ExpressionEvaluator,evaluateRenditionExpression,0,1,2,75,0,,
asset-share-commons,com.adobe.aem.commons.assetshare.util,ExpressionEvaluator,evaluateProperties,3,1,2,77,0,,
asset-share-commons,com.adobe.aem.commons.assetshare.util,MimeTypeHelper,isBrowserSupportedImage,0,1,1,7,0,,
asset-share-commons,com.adobe.aem.commons.assetshare.util,WorkflowUtil,persistData,9,2,4,13,0,,
asset-share-commons,com.adobe.aem.commons.assetshare.util,WorkflowUtil,getPersistedData,4,1,3,25,0,,
asset-share-commons,com.adobe.aem.commons.assetshare.util,WorkflowUtil,getPersistedData,4,1,3,30,0,,
asset-share-commons,com.adobe.aem.commons.assetshare.util,ResourceTypeVisitor,ResourceTypeVisitor,3,1,1,40,0,,
asset-share-commons,com.adobe.aem.commons.assetshare.util,ResourceTypeVisitor,getResources,3,1,0,47,0,,
asset-share-commons,com.adobe.aem.commons.assetshare.util,ResourceTypeVisitor,accept,6,2,1,55,0,,
asset-share-commons,com.adobe.aem.commons.assetshare.util,ResourceTypeVisitor,visit,7,3,1,68,0,com.adobe.aem.commons.assetshare.util.ResourceTypeVisitor,com.adobe.aem.commons.assetshare.util.ResourceTypeVisitor
asset-share-commons,com.adobe.aem.commons.assetshare.util,ResourceTypeVisitor,handleResourceVisit,7,2,2,77,0,,
asset-share-commons,com.adobe.aem.commons.assetshare.util,PredicateUtil,PredicateUtil,2,1,0,44,0,,
asset-share-commons,com.adobe.aem.commons.assetshare.util,PredicateUtil,getParamFromQueryParams,9,2,2,46,0,,
asset-share-commons,com.adobe.aem.commons.assetshare.util,PredicateUtil,isOptionInInitialValues,3,1,2,62,0,com.adobe.aem.commons.assetshare.util.PredicateUtil,com.adobe.aem.commons.assetshare.util.PredicateUtil
asset-share-commons,com.adobe.aem.commons.assetshare.util,PredicateUtil,isOptionInInitialValues,8,3,2,73,0,com.adobe.aem.commons.assetshare.util.PredicateUtil,com.adobe.aem.commons.assetshare.util.PredicateUtil
asset-share-commons,com.adobe.aem.commons.assetshare.util,PredicateUtil,isValueInValueMap,10,3,2,91,0,,
asset-share-commons,com.adobe.aem.commons.assetshare.util,PredicateUtil,getInitialValue,12,3,3,108,0,,
asset-share-commons,com.adobe.aem.commons.assetshare.util,PredicateUtil,getInitialValues,15,4,3,130,0,,
asset-share-commons,com.adobe.aem.commons.assetshare.util,PredicateUtil,findPredicate,9,2,3,162,0,,
asset-share-commons,com.adobe.aem.commons.assetshare.util,DataSourceBuilder,build,0,1,2,33,0,,
asset-share-commons,com.adobe.aem.commons.assetshare.util,ServletHelper,addSlingBindings,0,1,2,28,0,,
asset-share-commons,com.adobe.aem.commons.assetshare.util,JsonResolver,resolveJson,0,1,3,39,0,,
asset-share-commons,com.adobe.aem.commons.assetshare.util,ModelCache,get,0,1,1,32,0,,
asset-share-commons,com.adobe.aem.commons.assetshare.util,ModelCache,get,0,1,1,44,0,,
asset-share-commons,com.adobe.aem.commons.assetshare.util,ComponentModelVisitor,ComponentModelVisitor,6,1,4,24,0,,
asset-share-commons,com.adobe.aem.commons.assetshare.util,ComponentModelVisitor,getModels,3,1,0,40,0,,
asset-share-commons,com.adobe.aem.commons.assetshare.util,ComponentModelVisitor,visit,8,3,1,48,0,com.adobe.aem.commons.assetshare.util.ComponentModelVisitor,com.adobe.aem.commons.assetshare.util.ComponentModelVisitor
asset-share-commons,com.adobe.aem.commons.assetshare.util,ComponentModelVisitor,handleModelVisit,8,3,1,58,0,,
asset-share-commons,com.adobe.aem.commons.assetshare.util,ForcedInheritanceValueMapWrapper,ForcedInheritanceValueMapWrapper,3,1,1,39,0,,
asset-share-commons,com.adobe.aem.commons.assetshare.util,ForcedInheritanceValueMapWrapper,get,3,1,2,43,0,,
asset-share-commons,com.adobe.aem.commons.assetshare.util,ForcedInheritanceValueMapWrapper,get,3,1,2,47,0,,
asset-share-commons,com.adobe.aem.commons.assetshare.util,ForcedInheritanceValueMapWrapper,size,3,1,0,51,0,,
asset-share-commons,com.adobe.aem.commons.assetshare.util,ForcedInheritanceValueMapWrapper,isEmpty,3,1,0,56,0,,
asset-share-commons,com.adobe.aem.commons.assetshare.util,ForcedInheritanceValueMapWrapper,containsKey,3,1,1,61,0,,
asset-share-commons,com.adobe.aem.commons.assetshare.util,ForcedInheritanceValueMapWrapper,containsValue,3,1,1,66,0,,
asset-share-commons,com.adobe.aem.commons.assetshare.util,ForcedInheritanceValueMapWrapper,get,3,1,1,71,0,,
asset-share-commons,com.adobe.aem.commons.assetshare.util,ForcedInheritanceValueMapWrapper,put,3,1,2,76,0,,
asset-share-commons,com.adobe.aem.commons.assetshare.util,ForcedInheritanceValueMapWrapper,remove,3,1,1,81,0,,
asset-share-commons,com.adobe.aem.commons.assetshare.util,ForcedInheritanceValueMapWrapper,putAll,3,1,1,86,0,,
asset-share-commons,com.adobe.aem.commons.assetshare.util,ForcedInheritanceValueMapWrapper,clear,3,1,0,91,0,,
asset-share-commons,com.adobe.aem.commons.assetshare.util,ForcedInheritanceValueMapWrapper,keySet,3,1,0,96,0,,
asset-share-commons,com.adobe.aem.commons.assetshare.util,ForcedInheritanceValueMapWrapper,values,3,1,0,101,0,,
asset-share-commons,com.adobe.aem.commons.assetshare.util,ForcedInheritanceValueMapWrapper,entrySet,3,1,0,106,0,,
asset-share-commons,com.adobe.aem.commons.assetshare.util,RequireAem,Distribution,3,1,1,69,0,,
asset-share-commons,com.adobe.aem.commons.assetshare.util,RequireAem,getValue,3,1,0,73,0,,
asset-share-commons,com.adobe.aem.commons.assetshare.util,RequireAem,ServiceType,3,1,1,84,0,,
asset-share-commons,com.adobe.aem.commons.assetshare.util,RequireAem,getValue,3,1,0,88,0,,
asset-share-commons,com.adobe.aem.commons.assetshare.util,RequireAem,getDistribution,0,1,0,93,0,,
asset-share-commons,com.adobe.aem.commons.assetshare.util,RequireAem,getServiceType,0,1,0,98,0,,
asset-share-commons,com.adobe.aem.commons.assetshare.util,EmailService,sendEmail,0,1,3,70,0,,
asset-share-commons,com.adobe.aem.commons.assetshare.util,EmailService,sendEmail,0,1,3,83,0,,
asset-share-commons,com.adobe.aem.commons.assetshare.util,EmailService,sendEmail,0,1,4,95,0,,
asset-share-commons,com.adobe.aem.commons.assetshare.util,EmailService,sendEmail,0,1,4,107,0,,
asset-share-commons,com.adobe.aem.commons.assetshare.util.assetkit.impl.datasources,ComponentUpdatersDataSourceTest,setUp,7,1,0,34,0,,
asset-share-commons,com.adobe.aem.commons.assetshare.util.assetkit.impl.datasources,ComponentUpdatersDataSourceTest,doGet,10,1,0,48,1,,
asset-share-commons,com.adobe.aem.commons.assetshare.util.assetkit.impl.datasources,ComponentUpdatersDataSourceTest,toMap,10,2,1,64,0,,
