Project Name,Package Name,Type Name,Method Name,Implementation Smell,Cause of the Smell,Method start line no
asset-share-commons,com.adobe.aem.commons.assetshare.util.assetkit.impl.componentupdaters,AssetKitComponentUpdaterImplTest,updateComponent,Long Statement,The length of the statement "when(searchResult.getHits()).thenReturn(Arrays.asList(new Hit[]{new MockHit("/content/page/jcr:content/root/responsivegrid/asset-kit")}));" is 138.,75
asset-share-commons,com.adobe.aem.commons.assetshare.util.assetkit.impl.componentupdaters,AssetKitComponentUpdaterImplTest,updateComponent,Long Statement,The length of the statement "componentUpdater.updateComponent(ctx.resourceResolver().getResource("/content/page").adaptTo(Page.class)`ctx.resourceResolver().getResource("/content/dam/folder"));" is 164.,75
asset-share-commons,com.adobe.aem.commons.assetshare.util.assetkit.impl.componentupdaters,AssetKitComponentUpdaterImplTest,updateComponent,Long Statement,The length of the statement "String[] actual=ctx.resourceResolver().getResource("/content/page/jcr:content/root/responsivegrid/asset-kit").getValueMap().get("paths"`String[].class);" is 152.,75
asset-share-commons,com.adobe.aem.commons.assetshare.util.assetkit.impl.componentupdaters,BannerComponentUpdaterImpl,updateComponent,Long Statement,The length of the statement "assets.stream().filter(asset -> StringUtils.equals("banner"`StringUtils.lowerCase(asset.getTitle()))).findFirst().ifPresent(asset -> {" is 134.,57
asset-share-commons,com.adobe.aem.commons.assetshare.util.assetkit.impl.componentupdaters,BannerComponentUpdaterImpl,updateComponent,Long Statement,The length of the statement "assetKitHelper.updateComponentOnPage(assetKitPage`config.resource_type()`config.banner_asset_path_property()`asset.getPath());" is 126.,57
asset-share-commons,com.adobe.aem.commons.assetshare.util.assetkit.impl.componentupdaters,PageMetadataComponentUpdaterImpl,updateComponent,Long Statement,The length of the statement "final String title=assetKitProperties.get(JCR_CONTENT + "/" + JCR_TITLE`assetKitProperties.get(JCR_TITLE`assetKit.getName()));" is 126.,39
asset-share-commons,com.adobe.aem.commons.assetshare.util.assetkit.impl.componentupdaters,PageMetadataComponentUpdaterImpl,updateComponent,Long Statement,The length of the statement "final String description=assetKitProperties.get(JCR_CONTENT + "/" + JCR_DESCRIPTION`assetKitProperties.get(JCR_DESCRIPTION`""));" is 128.,39
asset-share-commons,com.adobe.aem.commons.assetshare.content.impl.datasources,AssetRenditionsDataSourceTest,setUp,Long Statement,The length of the statement "ctx.registerInjectActivateService(new StaticRenditionDispatcherImpl()`ImmutableMap.<String`Object>builder().put(Constants.SERVICE_RANKING`0).put("label"`"One AssetRenditionDispatcher").put("name"`"one").put("types"`new String[]{"image"`"video"}).put("rendition.mappings"`new String[]{"a=value"`"b=value"}).build());" is 315.,64
asset-share-commons,com.adobe.aem.commons.assetshare.content.impl.datasources,AssetRenditionsDataSourceTest,setUp,Long Statement,The length of the statement "ctx.registerInjectActivateService(new StaticRenditionDispatcherImpl()`ImmutableMap.<String`Object>builder().put(Constants.SERVICE_RANKING`0).put("label"`"Two AssetRenditionDispatcher").put("name"`"two").put("types"`new String[]{"video"}).put("rendition.mappings"`new String[]{"c=value"`"d=value"}).build());" is 307.,64
asset-share-commons,com.adobe.aem.commons.assetshare.content.impl.datasources,AssetRenditionsDataSourceTest,doGet_NoExcludes,Long Statement,The length of the statement "final Servlet servlet=ctx.registerInjectActivateService(new AssetRenditionsDataSource()`"sling.servlet.resourceTypes"`"asset-share-commons/data-sources/asset-renditions"`"sling.servlet.methods"`"GET");" is 201.,100
