Project Name,Package Name,Type Name,Testability Smell,Cause of the Smell
asset-share-commons,com.adobe.aem.commons.assetshare.content.properties.impl,FileNameImpl,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: LABEL; NAME
asset-share-commons,com.adobe.aem.commons.assetshare.content.properties.impl,WebRenditionImpl,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: LABEL; NAME
asset-share-commons,com.adobe.aem.commons.assetshare.content.properties.impl,WidthImpl,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: LABEL; NAME
asset-share-commons,com.adobe.aem.commons.assetshare.content.properties.impl,ExpiredImpl,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: LABEL; NAME
asset-share-commons,com.adobe.aem.commons.assetshare.content.properties.impl,UrlImpl,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: LABEL; NAME
asset-share-commons,com.adobe.aem.commons.assetshare.content.properties.impl,AssetRenditionImpl,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: LABEL; NAME
asset-share-commons,com.adobe.aem.commons.assetshare.content.properties.impl,PathImpl,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: LABEL; NAME
asset-share-commons,com.adobe.aem.commons.assetshare.content.properties.impl,TagTitlesImpl,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: LABEL; NAME
asset-share-commons,com.adobe.aem.commons.assetshare.content.properties.impl,PathEncodedImpl,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: LABEL; NAME
asset-share-commons,com.adobe.aem.commons.assetshare.content.properties.impl,TitleImpl,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: LABEL; NAME
asset-share-commons,com.adobe.aem.commons.assetshare.content.properties.impl,ResolutionImpl,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: LABEL; NAME
asset-share-commons,com.adobe.aem.commons.assetshare.content.properties.impl,ThumbnailImpl,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: LABEL; NAME
asset-share-commons,com.adobe.aem.commons.assetshare.content.properties.impl,AssetTypeImpl,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: LABEL; NAME; IMAGE_LABEL; DOCUMENT_LABEL; VIDEO_LABEL; AUDIO_LABEL; UNKNOWN_LABEL
asset-share-commons,com.adobe.aem.commons.assetshare.search.impl.predicateevaluators,PropertyValuesPredicateEvaluator,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: PREDICATE_NAME; VALUES
asset-share-commons,com.adobe.aem.commons.assetshare.components.assetkit.impl,AssetKitImpl,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: RESOURCE_TYPE
asset-share-commons,com.adobe.aem.commons.assetshare.configuration.impl.selectors,AlwaysUseDefaultSelectorImpl,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: LABEL; ID
asset-share-commons,com.adobe.aem.commons.assetshare.configuration.impl.selectors,AssetTypeSelectorImpl,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: LABEL; ID
asset-share-commons,com.adobe.aem.commons.assetshare.content.properties,ComputedProperty,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: METADATA; RENDITION; URL; VIDEO_RENDITION
asset-share-commons,com.adobe.aem.commons.assetshare.content.properties,ComputedProperty.Types,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: METADATA; RENDITION; URL; VIDEO_RENDITION
asset-share-commons,com.adobe.aem.commons.assetshare.search,Constants,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: FORM_ID
asset-share-commons,com.adobe.aem.commons.assetshare.search.searchpredicates.impl,ExcludeSubAssetsImpl,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: LABEL; NAME
asset-share-commons,com.adobe.aem.commons.assetshare.search.searchpredicates.impl,ExcludeContentFragmentsImpl,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: LABEL; NAME
